original,after
"[407, 674, 662.0]","[0.26868475991649277, -0.5908571428571429, -2.09]"
"[434, 650, 654.0]","[0.3926931106471816, -0.6160000000000001, -1.9700000000000002]"
"[414, 661, 634.0]","[0.30083507306889357, -0.6788571428571429, -2.025]"
"[481, 569, 911.0]","[0.6085594989561587, 0.19171428571428573, -1.5650000000000004]"
"[495, 553, 934.0]","[0.6728601252609603, 0.264, -1.4850000000000003]"
"[719, 684, 882.0]","[1.7016701461377872, 0.10057142857142853, -2.14]"
"[513, 529, 959.0]","[0.7555323590814198, 0.3425714285714285, -1.3649999999999998]"
"[719, 680, 966.0]","[1.7016701461377872, 0.36457142857142855, -2.12]"
"[529, 517, 1014.0]","[0.8290187891440501, 0.5154285714285716, -1.3050000000000002]"
"[719, 677, 1022.0]","[1.7016701461377872, 0.5405714285714285, -2.105]"
"[539, 504, 1055.0]","[0.8749478079331943, 0.6442857142857144, -1.2400000000000002]"
"[719, 668, 1074.0]","[1.7016701461377872, 0.704, -2.06]"
"[545, 490, 1092.0]","[0.9025052192066809, 0.7605714285714287, -1.17]"
"[719, 660, 1179.0]","[1.7016701461377872, 1.0339999999999998, -2.02]"
"[554, 477, 1131.0]","[0.9438413361169102, 0.8831428571428572, -1.105]"
"[719, 661, 1200.0]","[1.7016701461377872, 1.1, -2.025]"
"[719, 668, 1215.0]","[1.7016701461377872, 1.1471428571428572, -2.06]"
"[571, 461, 1150.0]","[1.021920668058455, 0.9428571428571431, -1.0250000000000004]"
"[719, 679, 1227.0]","[1.7016701461377872, 1.1848571428571426, -2.115]"
"[584, 458, 1158.0]","[1.0816283924843422, 0.968, -1.0100000000000002]"
"[719, 686, 1227.0]","[1.7016701461377872, 1.1848571428571426, -2.1500000000000004]"
"[591, 457, 1165.0]","[1.1137787056367432, 0.9899999999999998, -1.005]"
"[719, 689, 1225.0]","[1.7016701461377872, 1.1785714285714288, -2.165]"
"[597, 456, 1163.0]","[1.1413361169102298, 0.983714285714286, -1.0]"
"[719, 696, 1213.0]","[1.7016701461377872, 1.1408571428571426, -2.2]"
"[601, 456, 1158.0]","[1.1597077244258873, 0.968, -1.0]"
"[719, 701, 1214.0]","[1.7016701461377872, 1.1440000000000001, -2.2250000000000005]"
"[604, 456, 1161.0]","[1.1734864300626304, 0.9774285714285713, -1.0]"
"[719, 703, 1219.0]","[1.7016701461377872, 1.1597142857142857, -2.2350000000000003]"
"[608, 458, 1165.0]","[1.1918580375782883, 0.9899999999999998, -1.0100000000000002]"
"[719, 707, 1220.0]","[1.7016701461377872, 1.1628571428571428, -2.255]"
"[610, 459, 1159.0]","[1.201043841336117, 0.9711428571428571, -1.0150000000000001]"
"[610, 458, 1171.0]","[1.201043841336117, 1.008857142857143, -1.0100000000000002]"
"[608, 453, 1178.0]","[1.1918580375782883, 1.0308571428571427, -0.9850000000000003]"
"[606, 449, 1182.0]","[1.1826722338204592, 1.0434285714285716, -0.9649999999999999]"
"[602, 440, 1192.0]","[1.1643006263048017, 1.0748571428571427, -0.9199999999999999]"
"[600, 436, 1195.0]","[1.155114822546973, 1.0842857142857145, -0.8999999999999999]"
"[596, 428, 1211.0]","[1.1367432150313155, 1.1345714285714288, -0.8600000000000001]"
"[593, 424, 1222.0]","[1.122964509394572, 1.169142857142857, -0.8400000000000001]"
"[591, 422, 1228.0]","[1.1137787056367432, 1.1880000000000002, -0.8300000000000001]"
"[583, 417, 1246.0]","[1.0770354906054278, 1.2445714285714287, -0.8050000000000002]"
"[577, 415, 1263.0]","[1.0494780793319416, 1.2980000000000005, -0.7949999999999999]"
"[561, 411, 1281.0]","[0.9759916492693113, 1.3545714285714285, -0.7750000000000001]"
"[527, 406, 1254.0]","[0.8198329853862214, 1.269714285714286, -0.7500000000000002]"
"[509, 402, 1251.0]","[0.7371607515657621, 1.2602857142857147, -0.73]"
"[421, 387, 1298.0]","[0.33298538622129437, 1.408, -0.655]"
"[422, 396, 1339.0]","[0.33757828810020873, 1.536857142857143, -0.7000000000000002]"
"[419, 403, 1373.0]","[0.32379958246346563, 1.6437142857142857, -0.7350000000000001]"
"[418, 410, 1401.0]","[0.31920668058455104, 1.7317142857142858, -0.77]"
"[415, 413, 1395.0]","[0.30542797494780793, 1.7128571428571426, -0.7850000000000001]"
"[416, 418, 1427.0]","[0.3100208768267223, 1.8134285714285716, -0.81]"
"[416, 419, 1433.0]","[0.3100208768267223, 1.8322857142857147, -0.8150000000000002]"
"[414, 420, 1432.0]","[0.30083507306889357, 1.8291428571428572, -0.8200000000000001]"
"[413, 420, 1432.0]","[0.2962421711899792, 1.8291428571428572, -0.8200000000000001]"
"[413, 419, 1433.0]","[0.2962421711899792, 1.8322857142857147, -0.8150000000000002]"
"[412, 419, 1416.0]","[0.29164926931106483, 1.778857142857143, -0.8150000000000002]"
"[411, 420, 1426.0]","[0.28705636743215024, 1.8102857142857145, -0.8200000000000001]"
"[410, 419, 1418.0]","[0.28246346555323587, 1.7851428571428571, -0.8150000000000002]"
"[409, 419, 1421.0]","[0.2778705636743215, 1.7945714285714285, -0.8150000000000002]"
"[407, 418, 1396.0]","[0.26868475991649277, 1.7160000000000002, -0.81]"
"[406, 418, 1390.0]","[0.2640918580375784, 1.697142857142857, -0.81]"
"[406, 418, 1386.0]","[0.2640918580375784, 1.684571428571429, -0.81]"
"[406, 417, 1373.0]","[0.2640918580375784, 1.6437142857142857, -0.8050000000000002]"
"[405, 416, 1366.0]","[0.2594989561586638, 1.6217142857142859, -0.8]"
"[405, 416, 1369.0]","[0.2594989561586638, 1.6311428571428572, -0.8]"
"[406, 416, 1378.0]","[0.2640918580375784, 1.6594285714285713, -0.8]"
"[406, 416, 1363.0]","[0.2640918580375784, 1.6122857142857145, -0.8]"
"[404, 416, 1379.0]","[0.25490605427974944, 1.6625714285714288, -0.8]"
"[406, 416, 1376.0]","[0.2640918580375784, 1.653142857142857, -0.8]"
"[407, 416, 1387.0]","[0.26868475991649277, 1.6877142857142857, -0.8]"
"[406, 416, 1389.0]","[0.2640918580375784, 1.6940000000000004, -0.8]"
"[407, 417, 1383.0]","[0.26868475991649277, 1.6751428571428573, -0.8050000000000002]"
"[407, 416, 1394.0]","[0.26868475991649277, 1.709714285714286, -0.8]"
"[407, 416, 1400.0]","[0.26868475991649277, 1.728571428571429, -0.8]"
"[406, 417, 1399.0]","[0.2640918580375784, 1.7254285714285715, -0.8050000000000002]"
"[407, 418, 1407.0]","[0.26868475991649277, 1.750571428571429, -0.81]"
"[406, 419, 1401.0]","[0.2640918580375784, 1.7317142857142858, -0.8150000000000002]"
"[404, 422, 1420.0]","[0.25490605427974944, 1.7914285714285714, -0.8300000000000001]"
"[403, 424, 1424.0]","[0.25031315240083507, 1.8040000000000003, -0.8400000000000001]"
"[404, 428, 1432.0]","[0.25490605427974944, 1.8291428571428572, -0.8600000000000001]"
"[404, 429, 1447.0]","[0.25490605427974944, 1.8762857142857143, -0.865]"
"[403, 431, 1453.0]","[0.25031315240083507, 1.8951428571428575, -0.875]"
"[403, 432, 1487.0]","[0.25031315240083507, 2.002, -0.8800000000000001]"
"[404, 432, 1493.0]","[0.25490605427974944, 2.020857142857143, -0.8800000000000001]"
"[406, 430, 1477.0]","[0.2640918580375784, 1.9705714285714286, -0.8700000000000001]"
"[406, 427, 1498.0]","[0.2640918580375784, 2.036571428571429, -0.8550000000000002]"
"[404, 423, 1474.0]","[0.25490605427974944, 1.9611428571428573, -0.835]"
"[404, 420, 1472.0]","[0.25490605427974944, 1.954857142857143, -0.8200000000000001]"
"[404, 415, 1457.0]","[0.25490605427974944, 1.907714285714286, -0.7949999999999999]"
"[406, 411, 1452.0]","[0.2640918580375784, 1.8920000000000003, -0.7750000000000001]"
"[405, 407, 1453.0]","[0.2594989561586638, 1.8951428571428575, -0.7549999999999999]"
"[407, 401, 1427.0]","[0.26868475991649277, 1.8134285714285716, -0.7250000000000001]"
"[408, 396, 1428.0]","[0.27327766179540713, 1.8165714285714287, -0.7000000000000002]"
"[408, 390, 1390.0]","[0.27327766179540713, 1.697142857142857, -0.6700000000000002]"
"[410, 385, 1357.0]","[0.28246346555323587, 1.5934285714285714, -0.645]"
"[412, 381, 1325.0]","[0.29164926931106483, 1.4928571428571429, -0.625]"
"[415, 379, 1300.0]","[0.30542797494780793, 1.4142857142857141, -0.615]"
"[417, 379, 1277.0]","[0.31461377870563667, 1.3420000000000005, -0.615]"
"[424, 381, 1211.0]","[0.34676409185803747, 1.1345714285714288, -0.625]"
"[429, 386, 1183.0]","[0.36972860125260953, 1.0465714285714287, -0.6499999999999999]"
"[440, 396, 1123.0]","[0.42025052192066825, 0.8580000000000001, -0.7000000000000002]"
"[448, 401, 1095.0]","[0.4569937369519834, 0.77, -0.7250000000000001]"
"[462, 411, 1048.0]","[0.521294363256785, 0.6222857142857143, -0.7750000000000001]"
"[471, 416, 1028.0]","[0.5626304801670146, 0.5594285714285716, -0.8]"
"[481, 422, 1000.0]","[0.6085594989561587, 0.47142857142857153, -0.8300000000000001]"
"[501, 430, 965.0]","[0.7004175365344469, 0.36142857142857143, -0.8700000000000001]"
"[520, 438, 942.0]","[0.7876826722338206, 0.28914285714285715, -0.9100000000000001]"
"[562, 456, 907.0]","[0.9805845511482256, 0.17914285714285705, -1.0]"
"[526, 438, 864.0]","[0.815240083507307, 0.04400000000000004, -0.9100000000000001]"
"[663, 499, 983.0]","[1.4444676409185808, 0.4179999999999999, -1.2149999999999999]"
"[719, 504, 954.0]","[1.7016701461377872, 0.32685714285714296, -1.2400000000000002]"
"[719, 508, 1014.0]","[1.7016701461377872, 0.5154285714285716, -1.2600000000000002]"
"[719, 510, 1059.0]","[1.7016701461377872, 0.656857142857143, -1.2700000000000005]"
"[719, 511, 1115.0]","[1.7016701461377872, 0.832857142857143, -1.2750000000000004]"
"[719, 520, 1100.0]","[1.7016701461377872, 0.7857142857142856, -1.3200000000000003]"
"[719, 523, 1159.0]","[1.7016701461377872, 0.9711428571428571, -1.3350000000000004]"
"[719, 514, 1168.0]","[1.7016701461377872, 0.9994285714285716, -1.29]"
"[719, 519, 1170.0]","[1.7016701461377872, 1.0057142857142858, -1.315]"
